South Africa	227/9	50.0	1	lost	/ci/engine/match/1144490.html	16
India	230/4	47.3	2	won	/ci/engine/match/1144490.html	24
Sri Lanka	201	36.5	1	won	/ci/engine/match/1144489.html	16
Afghanistan	152	32.4	2	lost	/ci/engine/match/1144489.html	16
Pakistan	348/8	50.0	1	won	/ci/engine/match/1144488.html	35
England	334/9	50.0	2	lost	/ci/engine/match/1144488.html	36
Bangladesh	330/6	50.0	1	won	/ci/engine/match/1144487.html	40
South Africa	309/8	50.0	2	lost	/ci/engine/match/1144487.html	26
Afghanistan	207	38.2	1	lost	/ci/engine/match/1144486.html	31
Australia	209/3	34.5	2	won	/ci/engine/match/1144486.html	21
Sri Lanka	136	29.2	1	lost	/ci/engine/match/1144485.html	13
New Zealand	137/0	16.1	2	won	/ci/engine/match/1144485.html	17
Pakistan	105	21.4	1	lost	/ci/engine/match/1144484.html	12
West Indies	108/3	13.4	2	won	/ci/engine/match/1144484.html	16
England	311/8	50.0	1	won	/ci/engine/match/1144483.html	32
South Africa	207	39.5	2	lost	/ci/engine/match/1144483.html	25
Sri Lanka	322/8	50.0	1	won	/ci/engine/match/1169332.html	32
Scotland	199	33.2	2	lost	/ci/engine/match/1169332.html	23
Afghanistan	305/7	50.0	1	won	/ci/engine/match/1168516.html	41
Ireland	179	41.2	2	lost	/ci/engine/match/1168516.html	17
England	351/9	50.0	1	won	/ci/engine/match/1152845.html	43
Pakistan	297	46.5	2	lost	/ci/engine/match/1152845.html	34
Ireland	210	48.5	1	won	/ci/engine/match/1168515.html	19
Afghanistan	138	35.4	2	lost	/ci/engine/match/1168515.html	15
Pakistan	340/7	50.0	1	lost	/ci/engine/match/1152844.html	37
England	341/7	49.3	2	won	/ci/engine/match/1152844.html	38
West Indies	152/1	24.0	1	lost	/ci/engine/match/1168514.html	16
Bangladesh	213/5	22.5	2	won	/ci/engine/match/1168514.html	28
Ireland	292/8	50.0	1	lost	/ci/engine/match/1168513.html	29
Bangladesh	294/4	43.0	2	won	/ci/engine/match/1168513.html	34
Pakistan	358/9	50.0	1	lost	/ci/engine/match/1152843.html	43
England	359/4	44.5	2	won	/ci/engine/match/1152843.html	50
West Indies	247/9	50.0	1	lost	/ci/engine/match/1168512.html	21
Bangladesh	248/5	47.2	2	won	/ci/engine/match/1168512.html	25
England	373/3	50.0	1	won	/ci/engine/match/1152842.html	40
Pakistan	361/7	50.0	2	lost	/ci/engine/match/1152842.html	29
Ireland	327/5	50.0	1	lost	/ci/engine/match/1168511.html	35
West Indies	331/5	47.5	2	won	/ci/engine/match/1168511.html	36
Scotland	325/7	50.0	1	lost	/ci/engine/match/1169330.html	42
Afghanistan	269/3	44.5	2	won	/ci/engine/match/1169330.html	31
West Indies	261/9	50.0	1	lost	/ci/engine/match/1168509.html	23
Bangladesh	264/2	45.0	2	won	/ci/engine/match/1168509.html	26
West Indies	381/3	50.0	1	won	/ci/engine/match/1168508.html	46
Ireland	185	34.4	2	lost	/ci/engine/match/1168508.html	20
Ireland	198	43.1	1	lost	/ci/engine/match/1161014.html	18
England	199/6	42.0	2	won	/ci/engine/match/1161014.html	20
U.S.A.	164	43.4	1	lost	/ci/engine/match/1174844.html	19
P.N.G.	165/5	33.0	2	won	/ci/engine/match/1174844.html	22
Namibia	226/7	50.0	1	won	/ci/engine/match/1174845.html	17
Oman	81	29.0	2	lost	/ci/engine/match/1174845.html	6
U.A.E.	175	47.1	1	lost	/ci/engine/match/1179275.html	12
Zimbabwe	129/7	24.5	2	won	/ci/engine/match/1179275.html	15
Zimbabwe	307/4	50.0	1	won	/ci/engine/match/1179274.html	31
U.A.E.	176	46.2	2	lost	/ci/engine/match/1179274.html	16
U.A.E.	169/9	35.0	1	lost	/ci/engine/match/1179273.html	13
Zimbabwe	185/4	32.0	2	won	/ci/engine/match/1179273.html	16
U.A.E.	110	44.5	1	lost	/ci/engine/match/1179272.html	6
Zimbabwe	111/3	23.1	2	won	/ci/engine/match/1179272.html	12
Australia	327/7	50.0	1	won	/ci/engine/match/1174242.html	35
Pakistan	307/7	50.0	2	lost	/ci/engine/match/1174242.html	28
Australia	277/7	50.0	1	won	/ci/engine/match/1174241.html	27
Pakistan	271/8	50.0	2	lost	/ci/engine/match/1174241.html	21
Australia	266/6	50.0	1	won	/ci/engine/match/1174240.html	26
Pakistan	186	44.4	2	lost	/ci/engine/match/1174240.html	12
Pakistan	284/7	50.0	1	lost	/ci/engine/match/1174239.html	31
Australia	285/2	47.5	2	won	/ci/engine/match/1174239.html	27
Pakistan	280/5	50.0	1	lost	/ci/engine/match/1174238.html	28
Australia	281/2	49.0	2	won	/ci/engine/match/1174238.html	23
Sri Lanka	225	49.3	1	lost	/ci/engine/match/1144171.html	20
South Africa	135/2	28.0	2	won	/ci/engine/match/1144171.html	11
Sri Lanka	189	39.2	1	lost	/ci/engine/match/1144170.html	21
South Africa	190/4	32.5	2	won	/ci/engine/match/1144170.html	23
Australia	272/9	50.0	1	won	/ci/engine/match/1168246.html	30
India	237	50.0	2	lost	/ci/engine/match/1168246.html	22
South Africa	331/5	50.0	1	won	/ci/engine/match/1144169.html	40
Sri Lanka	121/5	24.0	2	lost	/ci/engine/match/1144169.html	13
India	358/9	50.0	1	lost	/ci/engine/match/1168245.html	41
Australia	359/6	47.5	2	won	/ci/engine/match/1168245.html	35
Afghanistan	216/6	50.0	1	lost	/ci/engine/match/1168119.html	20
Ireland	219/5	47.2	2	won	/ci/engine/match/1168119.html	22
Australia	313/5	50.0	1	won	/ci/engine/match/1168244.html	38
India	281	48.2	2	lost	/ci/engine/match/1168244.html	34
Afghanistan	223	49.1	1	won	/ci/engine/match/1168118.html	28
Ireland	114	35.3	2	lost	/ci/engine/match/1168118.html	8
South Africa	251	45.1	1	won	/ci/engine/match/1144168.html	34
Sri Lanka	138	32.2	2	lost	/ci/engine/match/1144168.html	12
India	250	48.2	1	won	/ci/engine/match/1168243.html	23
Australia	242	49.3	2	lost	/ci/engine/match/1168243.html	24
Afghanistan	256/8	50.0	1	lost	/ci/engine/match/1168117.html	27
Ireland	260/6	49.0	2	won	/ci/engine/match/1168117.html	25
Sri Lanka	231	47.0	1	lost	/ci/engine/match/1144167.html	26
South Africa	232/2	38.5	2	won	/ci/engine/match/1144167.html	29
England	113	28.1	1	lost	/ci/engine/match/1158070.html	13
West Indies	115/3	12.1	2	won	/ci/engine/match/1158070.html	18
Australia	236/7	50.0	1	lost	/ci/engine/match/1168242.html	28
India	240/4	48.2	2	won	/ci/engine/match/1168242.html	31
Afghanistan	256/8	50.0	1	lost	/ci/engine/match/1168117.html	27
Ireland	260/6	49.0	2	won	/ci/engine/match/1168117.html	25
Sri Lanka	231	47.0	1	lost	/ci/engine/match/1144167.html	26
South Africa	232/2	38.5	2	won	/ci/engine/match/1144167.html	29
England	113	28.1	1	lost	/ci/engine/match/1158070.html	13
West Indies	115/3	12.1	2	won	/ci/engine/match/1158070.html	18
Australia	236/7	50.0	1	lost	/ci/engine/match/1168242.html	28
India	240/4	48.2	2	won	/ci/engine/match/1168242.html	31
Ireland	161	49.2	1	lost	/ci/engine/match/1168115.html	15
Afghanistan	165/5	41.5	2	won	/ci/engine/match/1168115.html	23
England	418/6	50.0	1	won	/ci/engine/match/1158069.html	58
West Indies	389	48.0	2	lost	/ci/engine/match/1158069.html	52
West Indies	289/6	50.0	1	won	/ci/engine/match/1158067.html	24
England	263	47.4	2	lost	/ci/engine/match/1158067.html	30
West Indies	360/8	50.0	1	lost	/ci/engine/match/1158066.html	44
England	364/4	48.4	2	won	/ci/engine/match/1158066.html	43
New Zealand	330/6	50.0	1	won	/ci/engine/match/1153846.html	35
Bangladesh	242	47.2	2	lost	/ci/engine/match/1153846.html	30
England	418/6	50.0	1	won	/ci/engine/match/1158069.html	58
West Indies	389	48.0	2	lost	/ci/engine/match/1158069.html	52
West Indies	289/6	50.0	1	won	/ci/engine/match/1158067.html	24
England	263	47.4	2	lost	/ci/engine/match/1158067.html	30
West Indies	360/8	50.0	1	lost	/ci/engine/match/1158066.html	44
England	364/4	48.4	2	won	/ci/engine/match/1158066.html	43
New Zealand	330/6	50.0	1	won	/ci/engine/match/1153846.html	35
Bangladesh	242	47.2	2	lost	/ci/engine/match/1153846.html	30
Bangladesh	226	49.4	1	lost	/ci/engine/match/1153845.html	24
New Zealand	229/2	36.1	2	won	/ci/engine/match/1153845.html	26
Bangladesh	232	48.5	1	lost	/ci/engine/match/1153844.html	23
New Zealand	233/2	44.3	2	won	/ci/engine/match/1153844.html	24
India	252	49.5	1	won	/ci/engine/match/1153695.html	28
New Zealand	217	44.1	2	lost	/ci/engine/match/1153695.html	22
India	92	30.5	1	lost	/ci/engine/match/1153694.html	12
New Zealand	93/2	14.4	2	won	/ci/engine/match/1153694.html	15
Pakistan	240/8	50.0	1	lost	/ci/engine/match/1144160.html	24
South Africa	241/3	40.0	2	won	/ci/engine/match/1144160.html	26
U.A.E.	254/6	50.0	1	lost	/ci/engine/match/1170456.html	31
Nepal	255/6	44.4	2	won	/ci/engine/match/1170456.html	29
New Zealand	243	49.0	1	lost	/ci/engine/match/1153693.html	20
India	245/3	43.0	2	won	/ci/engine/match/1153693.html	30
South Africa	164	41.0	1	lost	/ci/engine/match/1144159.html	17
Pakistan	168/2	31.3	2	won	/ci/engine/match/1144159.html	17
Nepal	242/9	50.0	1	won	/ci/engine/match/1170455.html	23
U.A.E.	97	19.3	2	lost	/ci/engine/match/1170455.html	15
India	324/4	50.0	1	won	/ci/engine/match/1153692.html	40
New Zealand	234	40.2	2	lost	/ci/engine/match/1153692.html	28
Pakistan	317/6	50.0	1	lost	/ci/engine/match/1144158.html	34
South Africa	187/2	33.0	2	won	/ci/engine/match/1144158.html	21
Nepal	113	33.5	1	lost	/ci/engine/match/1170454.html	11
U.A.E.	116/7	32.1	2	won	/ci/engine/match/1170454.html	11
New Zealand	157	38.0	1	lost	/ci/engine/match/1153691.html	19
India	156/2	34.5	2	won	/ci/engine/match/1153691.html	12
Pakistan	203	45.5	1	lost	/ci/engine/match/1144157.html	19
South Africa	207/5	42.0	2	won	/ci/engine/match/1144157.html	28
South Africa	266/2	50.0	1	lost	/ci/engine/match/1144156.html	24
Pakistan	267/5	49.1	2	won	/ci/engine/match/1144156.html	28
Australia	230	48.4	1	lost	/ci/engine/match/1144999.html	17
India	234/3	49.2	2	won	/ci/engine/match/1144999.html	17
Australia	298/9	50.0	1	lost	/ci/engine/match/1144998.html	32
India	299/4	49.2	2	won	/ci/engine/match/1144998.html	22
Australia	288/5	50.0	1	won	/ci/engine/match/1144997.html	28
India	254/9	50.0	2	lost	/ci/engine/match/1144997.html	24
New Zealand	364/4	50.0	1	won	/ci/engine/match/1153842.html	41
Sri Lanka	249	41.4	2	lost	/ci/engine/match/1153842.html	28
New Zealand	319/7	50.0	1	won	/ci/engine/match/1153841.html	33
Sri Lanka	298	46.2	2	lost	/ci/engine/match/1153841.html	36
New Zealand	371/7	50.0	1	won	/ci/engine/match/1153840.html	41
Sri Lanka	326	49.0	2	lost	/ci/engine/match/1153840.html	34
West Indies	198/9	50.0	1	lost	/ci/engine/match/1153316.html	16
Bangladesh	202/2	38.3	2	won	/ci/engine/match/1153316.html	27
Bangladesh	255/7	50.0	1	lost	/ci/engine/match/1153315.html	22
West Indies	256/6	49.4	2	won	/ci/engine/match/1153315.html	21
West Indies	195/9	50.0	1	lost	/ci/engine/match/1153314.html	13
Bangladesh	196/5	35.1	2	won	/ci/engine/match/1153314.html	19
South Africa	320/5	50.0	1	won	/ci/engine/match/1144988.html	40
Australia	280/9	50.0	2	lost	/ci/engine/match/1144988.html	28
New Zealand	209/9	50.0	1	lost	/ci/engine/match/1157379.html	12
Pakistan	212/4	40.3	2	won	/ci/engine/match/1157379.html	21
Australia	231	48.3	1	won	/ci/engine/match/1144987.html	22
South Africa	224/9	50.0	2	lost	/ci/engine/match/1144987.html	18
New Zealand	266/9	50.0	1	won	/ci/engine/match/1157378.html	22
Pakistan	219	47.2	2	lost	/ci/engine/match/1157378.html	16
Australia	152	38.1	1	lost	/ci/engine/match/1144986.html	17
South Africa	153/4	29.2	2	won	/ci/engine/match/1144986.html	17
West Indies	104	31.5	1	lost	/ci/engine/match/1157758.html	10
India	105/1	14.5	2	won	/ci/engine/match/1157758.html	16
India	377/5	50.0	1	won	/ci/engine/match/1157757.html	50
West Indies	153	36.2	2	lost	/ci/engine/match/1157757.html	16
West Indies	283/9	50.0	1	won	/ci/engine/match/1157756.html	33
India	240	47.4	2	lost	/ci/engine/match/1157756.html	26
Zimbabwe	286/5	50.0	1	lost	/ci/engine/match/1153637.html	27
Bangladesh	288/3	42.1	2	won	/ci/engine/match/1153637.html	30
